c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.661445122,1.690529826,1.750566614,6.801100969,,,,,,,
c_r_rc_100_100/c101.txt ,1.679625175,1.679625175,0,4.240844011,,,,,,,
c_r_rc_100_100/c101.txt ,1.661832529,1.676970118,0.9108974,7.45699501,,,,,,,
c_r_rc_100_100/c101.txt ,1.642703269,1.642703269,0,4.22046113,,,,,,,
c_r_rc_100_100/c101.txt ,1.624797125,1.643747326,1.16631187,8.943680048,,,,,,,
c_r_rc_100_100/c101.txt ,1.616888872,1.68593017,4.270008886,14.766922,,,,,,,
c_r_rc_100_100/c101.txt ,1.645664041,1.659189196,0.821866141,8.598289967,,,,,,,
c_r_rc_100_100/c101.txt ,1.655561383,1.684851905,1.769219927,6.923784971,,,,,,,
c_r_rc_100_100/c101.txt ,1.646127995,1.675703353,1.796662171,5.692849875,,,,,,,
c_r_rc_100_100/c101.txt ,1.619630489,1.654987902,2.183054309,5.607097149,,,,,,,
c_r_rc_100_100/c101.txt ,1.668660999,1.668660999,0,4.164100885,,,,,,,
c_r_rc_100_100/c101.txt ,1.668767958,1.668767958,0,4.19072485,,,,,,,
c_r_rc_100_100/c101.txt ,1.686420825,1.686420825,0,4.211385965,,,,,,,
c_r_rc_100_100/c101.txt ,1.622790732,1.666601281,2.699704137,9.693590164,,,,,,,
c_r_rc_100_100/c101.txt ,1.647464522,1.647464522,0,4.198078871,,,,,,,
c_r_rc_100_100/c101.txt ,1.652680811,1.682746825,1.819226925,5.723662138,,,,,,,
c_r_rc_100_100/c101.txt ,1.64368793,1.64368793,0,4.190466166,,,,,,,
c_r_rc_100_100/c101.txt ,1.632887631,1.662499621,1.81347383,11.68779802,,,,,,,
c_r_rc_100_100/c101.txt ,1.669814374,1.685444245,0.936024473,5.94264102,,,,,,,
c_r_rc_100_100/c101.txt ,1.624042272,1.682906685,3.62456164,6.391587973,,,,,,,
c_r_rc_100_100/c101.txt ,1.629101208,1.678453793,3.029436394,9.514793873,,,,,,,
c_r_rc_100_100/c101.txt ,1.687231381,1.687231381,0,4.223850012,,,,,,,
c_r_rc_100_100/c101.txt ,1.632393401,1.689942216,3.525425598,9.37122488,,,,,,,
c_r_rc_100_100/c101.txt ,1.629066327,1.661445122,1.987567625,7.882230997,,,,,,,
c_r_rc_100_100/c101.txt ,1.650049817,1.650049817,0,4.342281103,,,,,,,
c_r_rc_100_100/c101.txt ,1.683875022,1.683875022,0,4.344884872,,,,,,,
c_r_rc_100_100/c101.txt ,1.655561383,1.677736355,1.339423092,5.720285177,,,,,,,
c_r_rc_100_100/c101.txt ,1.644923448,1.688118064,2.62593472,5.665903091,,,,,,,
c_r_rc_100_100/c101.txt ,1.673299245,1.683035709,0.581872277,7.981461048,,,,,,,
c_r_rc_100_100/c101.txt ,1.612308015,1.669637789,3.555758189,7.879520178,,,,,,,
c_r_rc_100_100/c101.txt ,1.66797453,1.66797453,0,4.04903698,,,,,,,
c_r_rc_100_100/c101.txt ,1.671844344,1.671844344,0,4.025694847,,,,,,,
c_r_rc_100_100/c101.txt ,1.676033274,1.680436903,0.262741149,10.59823799,,,,,,,
c_r_rc_100_100/c101.txt ,1.623552311,1.690529826,4.125368478,11.604038,,,,,,,
c_r_rc_100_100/c101.txt ,1.675681206,1.68534256,0.576562791,6.106339931,,,,,,,
c_r_rc_100_100/c101.txt ,1.625804898,1.677170589,3.159400675,11.44360018,,,,,,,
c_r_rc_100_100/c101.txt ,1.683875325,1.683875325,0,4.129961967,,,,,,,
c_r_rc_100_100/c101.txt ,1.646487942,1.691506406,2.734211603,6.165189981,,,,,,,
c_r_rc_100_100/c101.txt ,1.653882624,1.687684093,2.043764709,8.842216969,,,,,,,
c_r_rc_100_100/c101.txt ,1.6233386,1.683833404,3.726567236,8.690802813,,,,,,,
c_r_rc_100_100/c101.txt ,1.636636378,1.644964236,0.508839852,5.930875063,,,,,,,
c_r_rc_100_100/c101.txt ,1.620306698,1.677736355,3.544369535,9.719642162,,,,,,,
c_r_rc_100_100/c101.txt ,1.680766787,1.684851905,0.243050875,5.794964075,,,,,,,
c_r_rc_100_100/c101.txt ,1.624836259,1.678246678,3.287126277,7.457049847,,,,,,,
c_r_rc_100_100/c101.txt ,1.661620558,1.682746825,1.271425449,9.308990002,,,,,,,
c_r_rc_100_100/c101.txt ,1.680807574,1.680807574,0,4.628964901,,,,,,,
c_r_rc_100_100/c101.txt ,1.948867648,1.954338292,0.28070884,7.528733969,,,,,,,
c_r_rc_100_100/c101.txt ,1.653078989,1.653078989,0,4.025076151,,,,,,,
c_r_rc_100_100/c101.txt ,1.682145801,1.682145801,0,4.324226141,,,,,,,
c_r_rc_100_100/c101.txt ,1.688698617,1.688698617,0,4.173851967,,,,,,,
c_r_rc_100_100/c101.txt ,1.625314243,1.681092411,3.431839013,7.388908148,,,,,,,
c_r_rc_100_100/c101.txt ,1.669052796,1.683875022,0.888062142,13.88234091,,,,,,,
c_r_rc_100_100/c101.txt ,1.680601756,1.680601756,0,4.35355401,,,,,,,
c_r_rc_100_100/c101.txt ,1.69631188,1.69631188,0,4.430580139,,,,,,,
c_r_rc_100_100/c101.txt ,1.638856557,1.675516175,2.236902175,8.391370773,,,,,,,
c_r_rc_100_100/c101.txt ,1.624309309,1.642579628,1.124805451,12.09178114,,,,,,,
c_r_rc_100_100/c101.txt ,1.630890479,1.654478489,1.446327076,8.383821964,,,,,,,
c_r_rc_100_100/c101.txt ,1.679045344,1.679045344,0,4.33046484,,,,,,,
c_r_rc_100_100/c101.txt ,1.642901987,1.649904477,0.426226905,6.212418079,,,,,,,
c_r_rc_100_100/c101.txt ,1.639347213,1.689942216,3.086289656,5.742548943,,,,,,,
c_r_rc_100_100/c101.txt ,1.656845466,1.669862829,0.785671524,5.593217134,,,,,,,
